year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPVnorth	low depth	max grad theta_e	theta_eSST - theta_e700	shear	PLpoint
1995.0	1.0	31.0	0.0	5.354085	65.814232	6.289976	-2.95553588867	17.1102600098	-0.582641601562	5.86250829697	9.03887939453	146.780263129	1.0
1995.0	1.0	31.0	1.0	5.412967	65.017685	6.222629	-2.72677246094	16.6314563751	-0.526245117188	6.81567955017	9.66622924805	113.090378884	1.0
1995.0	1.0	31.0	2.0	4.372939	61.958523	5.221972	-3.45212763006	14.0584421158	-0.592224121094	6.74796009064	9.6233215332	94.1437047316	1.0
1995.0	1.0	132.0	2.0	3.646991	57.886753	4.731222	-3.12411659642	20.2630233765	-0.532409667969	4.24893045425	9.80493164062	124.588540085	1.0
1995.0	1.0	132.0	3.0	7.234909	53.878124	4.716745	-5.07246500651	22.3022727966	-0.5283203125	3.5747191906	6.52377319336	110.296726305	0.0
1995.0	1.0	132.0	4.0	11.341709	51.378323	4.764496	nan	24.1034431458	-0.344177246094	5.30470180511	nan	120.35821678	0.0
1995.0	1.0	132.0	5.0	16.07575	50.317856	4.887635	nan	20.1290225983	-0.0738525390625	3.61278390884	nan	98.3879829766	0.0
1995.0	1.0	134.0	2.0	25.135181	72.703293	3.669922	-1.7286599649	14.2628965378	-0.0158081054688	5.49532747269	9.35971069336	70.4286828521	0.0
1995.0	1.0	134.0	3.0	33.336376	72.04258	4.156777	-2.58158090952	23.3960037231	-0.350036621094	5.58233499527	9.54019165039	65.2884056688	0.0
1995.0	1.0	134.0	4.0	38.926739	72.055923	5.948893	-3.81677658493	25.6190872192	-0.516845703125	5.4657959938	9.30813598633	86.1376981517	1.0
1995.0	1.0	134.0	5.0	45.4137	72.660316	5.748937	-5.80429736988	33.8805046082	-0.636840820312	5.44586324692	8.03375244141	57.9009078604	0.0
1995.0	1.0	520.0	15.0	-61.597656	46.836262	5.081506	-19.1196195162	60.3270874023	-0.332763671875	5.32495641708	-0.172149658203	37.066949904	0.0
1995.0	1.0	520.0	16.0	-58.867462	48.494572	6.394393	-16.7391826923	56.3047180176	-0.753601074219	6.86730146408	0.606353759766	41.1848991185	0.0
1995.0	1.0	520.0	17.0	-56.759521	49.824997	5.31349	-14.7662353516	43.2420463562	-0.644958496094	8.65218639374	1.77514648438	60.1881953402	0.0
1995.0	1.0	520.0	18.0	-52.339691	51.585133	7.996075	-16.1820726897	42.1803627014	-0.6982421875	9.52659225464	0.390106201172	83.0404016539	0.0
1995.0	1.0	520.0	19.0	-49.653442	54.179268	13.93813	-10.71412739	34.6938438416	-1.13336181641	11.1567249298	5.00769042969	118.201936275	0.0
1995.0	1.0	520.0	20.0	-47.751587	55.952885	16.16494	-9.29995888158	29.2829093933	-1.73944091797	8.73965835571	5.73583984375	159.9433919	1.0
1995.0	1.0	520.0	21.0	-45.443207	57.321346	12.48433	-8.65493613795	23.4121990204	-1.20904541016	8.21737098694	5.02993774414	154.280054494	1.0
1995.0	1.0	520.0	22.0	-42.833893	58.306641	9.814091	-7.85028236791	23.3052749634	-0.933959960938	9.74030399323	4.58303833008	137.460005205	1.0
1995.0	1.0	520.0	23.0	-39.398743	59.717148	7.675168	-7.18413182309	25.4140758514	-0.537841796875	11.3671445847	4.4762878418	133.888773302	1.0
1995.0	1.0	521.0	15.0	-24.62796	60.230148	4.839585	-12.9749523926	27.8416976929	-0.778198242188	7.0887260437	5.80941772461	88.8216876593	0.0
1995.0	1.0	521.0	16.0	-24.395172	61.709747	4.70953	-11.1986108398	18.9924640656	-0.702392578125	6.94242095947	6.1647644043	136.586226354	1.0
1995.0	1.0	521.0	17.0	-24.146027	61.189018	3.786544	-11.3518762207	15.5342025757	-0.802307128906	9.85393047333	5.82049560547	142.876840773	0.0
1995.0	1.0	554.0	16.0	164.157822	51.637573	3.246179	-18.847460295	50.7952232361	-0.0904541015625	5.58736658096	3.53088378906	28.5316323302	0.0
1995.0	1.0	554.0	17.0	165.337036	52.550774	4.227165	-18.4013960989	37.1550674438	-0.0874633789062	6.61073112488	1.99887084961	43.7364450532	0.0
1995.0	1.0	554.0	18.0	166.616104	53.341496	5.070922	-17.8688515111	34.7085762024	-0.136352539062	6.00047206879	2.54037475586	46.042246322	0.0
1995.0	1.0	554.0	19.0	166.792862	53.530243	4.136014	-15.7987108733	33.7498703003	-0.242004394531	6.43910074234	3.24252319336	52.3675157698	0.0
1995.0	1.0	554.0	20.0	167.512497	53.303532	5.198978	-12.4229945133	30.9526176453	-0.370971679688	6.13758850098	2.8576965332	51.5266187366	0.0
1995.0	1.0	554.0	21.0	169.019852	52.808601	4.342689	-7.83673898797	32.2460823059	-0.674743652344	5.80054092407	3.45474243164	80.6702140129	0.0
1995.0	1.0	554.0	22.0	171.26297	53.888969	5.036475	-7.12842921207	25.9244670868	-0.522644042969	6.30196332932	3.79550170898	82.0242290547	1.0
1995.0	1.0	554.0	23.0	173.458496	54.711964	5.24393	-7.55233282792	29.9982147217	-0.477233886719	5.5567650795	5.14654541016	81.4233888068	1.0
1995.0	1.0	554.0	24.0	175.154099	55.538338	5.476492	-8.81150416324	31.0104217529	-0.284484863281	5.25982141495	5.12750244141	76.1290520511	0.0
1995.0	1.0	554.0	25.0	175.408463	56.564472	3.994982	-9.68166953639	28.2415809631	-0.567016601562	4.3906712532	5.4382019043	88.1322538998	1.0
1995.0	1.0	589.0	17.0	-55.946442	59.238758	2.495753	-6.33120406301	33.720161438	-0.452392578125	5.34635591507	7.35171508789	116.189319948	0.0
1995.0	1.0	589.0	18.0	-55.804596	59.603859	6.278837	-3.17286280582	33.8491744995	-0.591064453125	5.87694215775	8.84844970703	124.590785103	0.0
1995.0	1.0	589.0	19.0	-56.500549	60.334366	9.015913	-2.83885498047	34.2973136902	-0.688415527344	6.50594806671	7.71890258789	130.233609033	0.0
1995.0	1.0	589.0	20.0	-57.276093	60.269993	9.131229	-2.54146972656	30.9523353577	-1.14733886719	5.74529790878	7.76196289062	136.673737673	1.0
1995.0	1.0	589.0	21.0	-57.318115	59.598202	7.767667	-2.94751137181	31.9541397095	-0.817443847656	5.57564973831	6.96893310547	135.940696168	0.0
1995.0	1.0	589.0	22.0	-55.792908	59.21611	6.022233	-2.91445440995	29.2053565979	-0.585083007812	5.44484949112	7.93447875977	154.724054108	1.0
1995.0	1.0	589.0	23.0	-53.694061	58.999531	4.729841	-4.06726234838	19.4735641479	-0.4873046875	4.64646863937	8.15646362305	145.970477987	1.0
1995.0	1.0	589.0	24.0	-49.233551	60.503445	3.205167	-6.08350708008	21.2724399567	-0.0802001953125	10.6984090805	7.06924438477	127.368922841	0.0
1995.0	1.0	611.0	18.0	141.576996	39.497433	3.788053	-7.14904785156	48.9870948792	-0.189514160156	4.8523979187	13.0345458984	38.9137972154	0.0
1995.0	1.0	611.0	19.0	145.412903	40.831356	4.952975	-10.4043954703	53.1254348755	-0.313720703125	5.65348100662	10.498260498	37.2183212167	0.0
1995.0	1.0	611.0	20.0	148.658722	41.944519	6.751592	-12.5090097281	52.1188278198	-0.72216796875	5.56578063965	7.42401123047	70.3774032363	0.0
1995.0	1.0	611.0	21.0	151.777649	43.28672	7.587826	-12.1243990385	39.7010192871	-0.66357421875	7.07285499573	5.08807373047	76.4779861809	0.0
1995.0	1.0	611.0	22.0	154.971191	44.368412	9.045515	-9.29905348558	25.4415283203	-1.05364990234	9.02092933655	4.60931396484	90.0246619242	1.0
1995.0	1.0	611.0	23.0	158.843552	45.282646	9.637531	-11.2415184608	40.7992897034	-0.776672363281	5.76544046402	5.68267822266	79.5765474989	0.0
1995.0	1.0	611.0	24.0	162.351257	46.030693	9.521188	-14.2039982722	54.9342041016	-0.787048339844	10.7669897079	6.01443481445	91.3802770391	0.0
1995.0	1.0	611.0	25.0	165.165421	46.391003	8.780106	-9.87603290264	17.1992263794	-0.683959960938	8.23365688324	7.17416381836	106.403547749	1.0
1995.0	1.0	611.0	26.0	168.387497	46.928867	6.575083	-11.6428386982	27.3542499542	-0.401062011719	11.390663147	5.26937866211	143.713253156	0.0
1995.0	1.0	611.0	27.0	171.314423	46.116459	3.518103	-13.4788419283	40.3792495728	-0.392211914062	6.2200012207	7.74130249023	151.109993629	0.0
1995.0	1.0	658.0	19.0	139.53476	43.87252	4.519169	-1.21978290264	28.5353507996	-0.55029296875	6.37449932098	12.9721374512	120.678771381	1.0
1995.0	1.0	658.0	20.0	141.130997	43.50967	4.973464	-1.38623046875	39.1081733704	-0.285034179688	4.41320896149	12.4930114746	126.205407661	0.0
1995.0	1.0	658.0	21.0	143.320709	42.563076	4.5184	-2.26373799642	38.1423492432	-0.285339355469	4.28169727325	12.7609558105	55.3451868445	0.0
1995.0	1.0	658.0	22.0	146.363174	41.862274	3.964426	-7.52966073843	28.227891922	-0.0857543945312	5.57791614532	9.72052001953	53.9010968011	0.0
1995.0	1.0	658.0	23.0	151.618027	42.309689	5.240228	-9.55880502554	19.0459041595	-0.0567626953125	5.06154632568	7.21127319336	71.9260404152	0.0
1995.0	1.0	671.0	20.0	127.323265	38.984798	3.304569	-21.206044515	40.1700897217	-0.14990234375	8.29577922821	9.47003173828	27.2557951368	0.0
1995.0	1.0	671.0	21.0	128.561249	39.097683	3.271547	-22.8155822754	48.6272735596	-0.212646484375	5.15306329727	0.36669921875	55.3677170783	0.0
