year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPVnorth	low depth	max grad theta_e	theta_eSST - theta_e700	shear	PLpoint
1997.0	1.0	215.0	6.0	37.047337	70.445023	3.066831	-11.2427407542	32.6910171509	-0.116760253906	4.76964902878	6.33169555664	24.0928929738	0.0
1997.0	1.0	215.0	7.0	40.304058	68.803886	4.475415	-7.61703589655	21.8909702301	-0.44873046875	4.44571399689	7.50021362305	55.3190921115	1.0
1997.0	1.0	215.0	8.0	42.734245	67.944473	3.791051	-5.26252237956	25.2787094116	-0.633666992188	4.83445167542	8.16693115234	91.0928904159	0.0
1997.0	1.0	516.0	16.0	131.842987	36.065189	3.712778	-13.0467482347	71.3526077271	-0.218139648438	8.40254688263	6.85873413086	67.5797634421	0.0
1997.0	1.0	516.0	17.0	131.669388	36.758553	6.20896	-8.95727539062	41.5801620483	-0.574890136719	9.94583129883	6.25421142578	84.2392378255	0.0
1997.0	1.0	516.0	18.0	132.175797	37.040577	8.311202	-7.94108229417	34.2518959045	-0.877319335938	9.66884899139	11.5559387207	118.913403115	0.0
1997.0	1.0	516.0	19.0	133.454803	37.752243	9.298603	-9.32527982272	41.6650505066	-0.733215332031	7.26195144653	13.2760620117	142.899180583	0.0
1997.0	1.0	516.0	20.0	135.311676	38.578899	9.492434	-9.85473867563	41.111831665	-0.808410644531	7.02447652817	10.356048584	161.502598326	0.0
1997.0	1.0	516.0	21.0	136.379059	38.978294	11.13088	-9.70211557242	33.1046524048	-1.12200927734	5.48414993286	9.70489501953	154.888827453	0.0
1997.0	1.0	516.0	22.0	136.995499	38.834915	11.07959	-9.67033973107	29.945980072	-1.33575439453	5.3525853157	9.18939208984	167.173591133	1.0
1997.0	1.0	516.0	23.0	138.098572	38.831436	9.430787	-9.21946833684	25.2623691559	-0.968444824219	5.49484300613	6.64047241211	146.254519232	1.0
1997.0	1.0	516.0	24.0	139.020035	38.568813	5.695351	-8.26580132378	25.092634201	-1.02581787109	5.104388237	9.37322998047	123.273022772	0.0
1997.0	1.0	516.0	25.0	140.355637	38.395706	3.717896	-8.43844604492	33.6352233887	-0.0226440429688	4.15343284607	12.2005615234	72.6218090834	0.0
1997.0	1.0	516.0	26.0	142.714081	37.354755	4.743892	-7.32778226412	61.1023292542	-0.609619140625	4.93834447861	13.6552429199	65.0618953422	0.0
1997.0	1.0	516.0	27.0	144.198654	37.101532	5.444944	-9.17235623873	60.1608123779	-0.325012207031	5.11816596985	14.663482666	82.007851242	0.0
1997.0	1.0	516.0	28.0	145.160645	37.090347	6.606166	-8.37887807993	59.543296814	-0.5849609375	5.31823348999	14.244354248	91.9983638323	0.0
1997.0	1.0	516.0	29.0	146.45784	37.061104	6.463112	-7.89782245343	58.7907104492	-0.71533203125	5.60144138336	14.066192627	80.7710572038	0.0
1997.0	1.0	536.0	17.0	165.68959	49.81134	3.199934	-10.8888437372	26.3495521545	-0.20068359375	3.24001455307	2.13455200195	154.47725526	0.0
1997.0	1.0	536.0	18.0	163.917435	50.589211	4.057276	-10.060052169	20.9593162537	-0.366394042969	3.30703783035	2.3141784668	167.018328685	0.0
1997.0	1.0	536.0	19.0	163.093185	50.271008	5.886508	-9.36672170539	22.734752655	-0.645568847656	3.93735289574	3.44802856445	169.197330076	1.0
1997.0	1.0	536.0	20.0	162.050644	50.25119	6.684175	-9.13879073294	20.7619285583	-0.796752929688	3.7485229969	2.68453979492	162.235997959	1.0
1997.0	1.0	536.0	21.0	161.373169	50.158665	7.933874	-9.78050151624	18.2596569061	-0.658203125	4.1558265686	3.01605224609	157.834562649	0.0
1997.0	1.0	536.0	22.0	160.564026	50.03862	6.467463	-9.80064954256	24.6691684723	-0.5673828125	5.04373168945	2.70413208008	149.338652005	1.0
1997.0	1.0	536.0	23.0	159.614883	50.07909	4.55968	-10.405116031	30.3834629059	-0.602844238281	4.84502887726	2.46176147461	145.253231445	1.0
1997.0	1.0	588.0	20.0	4.235518	73.126427	4.235165	-17.3624554802	31.860414505	-0.226196289062	5.08125448227	-2.2744140625	35.2836710374	0.0
1997.0	1.0	588.0	21.0	14.443495	72.732407	6.04829	-9.6455086373	8.76586151123	-0.587524414062	5.35550451279	4.59216308594	95.8802625015	1.0
1997.0	1.0	674.0	23.0	6.403383	74.092033	3.306834	-9.75949677967	17.4460601807	-0.294006347656	5.32855892181	2.30261230469	108.165221428	0.0
1997.0	1.0	674.0	24.0	6.892309	73.386375	4.453755	-9.28784344647	19.7357959747	-0.250061035156	6.11878919601	3.67727661133	105.237043416	0.0
1997.0	1.0	674.0	25.0	9.853004	72.661453	6.097065	-6.43572503167	15.7757511139	-0.657775878906	6.34721899033	6.28381347656	131.254744162	1.0
1997.0	1.0	674.0	26.0	10.658395	72.088036	6.148658	-5.89953365841	22.3978424072	-0.733032226562	5.58109617233	7.78302001953	153.425591067	1.0
1997.0	1.0	674.0	27.0	11.180169	71.006363	5.47428	-5.34973062051	27.0449256897	-0.444458007812	4.81481027603	7.38287353516	137.647338691	1.0
1997.0	1.0	674.0	28.0	11.138158	70.123573	3.855776	-7.61562224357	36.5033035278	-0.135559082031	4.71728229523	5.68869018555	96.1530971787	0.0
1997.0	1.0	732.0	25.0	-176.180878	63.057781	4.909818	-9.60978027344	24.1644325256	-0.42626953125	4.39531135559	3.72134399414	55.4931202356	1.0
1997.0	1.0	732.0	26.0	-171.848114	64.584885	6.460602	-11.2571655273	23.954126358	-0.564086914062	4.63837766647	1.79125976562	55.297752006	0.0
1997.0	1.0	732.0	27.0	-168.530655	65.217125	6.246522	nan	22.7862949371	-0.674743652344	3.95006203651	nan	55.8897900742	0.0
1997.0	1.0	732.0	28.0	-165.344238	65.468987	4.62715	nan	22.8189315796	-0.423095703125	3.30516552925	nan	57.4920591698	0.0
1997.0	1.0	762.0	26.0	-10.932129	79.772736	6.615452	nan	27.856344223	-0.323608398438	7.3223233223	nan	65.4449670418	0.0
1997.0	1.0	762.0	27.0	-2.056427	79.730232	6.877996	-12.0575805664	25.2898311615	-0.443359375	5.28874635696	2.40612792969	79.7854727433	0.0
1997.0	1.0	762.0	28.0	6.123519	79.510742	7.249629	-8.56464930943	19.8931808472	-0.9658203125	5.37620830536	4.1530456543	101.911497641	0.0
1997.0	1.0	762.0	29.0	12.589985	79.120888	5.438632	-5.64061482747	10.4850063324	-1.22692871094	5.68695211411	6.90802001953	129.474559294	0.0
1997.0	1.0	762.0	30.0	15.990791	78.655388	5.58371	nan	9.50208377838	-0.981506347656	5.21352291107	8.1989440918	137.137350277	0.0
1997.0	1.0	762.0	31.0	16.873642	77.728737	6.112319	nan	7.91460323334	-0.495178222656	8.06654262543	10.7945251465	138.94275561	0.0
1997.0	1.0	762.0	32.0	13.547404	76.828972	5.434111	-2.0574798584	7.07187223434	-0.515747070312	8.93598651886	13.6557922363	150.778886917	0.0
1997.0	1.0	762.0	33.0	11.799042	75.910927	5.063515	0.58704562717	6.98235464096	-0.535888671875	6.7495970726	16.0463256836	138.891266187	1.0
1997.0	1.0	840.0	28.0	39.496887	70.546364	3.482548	-6.32385171426	15.7702465057	-0.332824707031	3.67765808105	8.4365234375	103.364857536	0.0
