year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPV polewards	low depth	PLpoint
1986.0	3.0	7375.0	87.0	-126.694077	-57.120708	3.89075	-7.5816457648	18.8665485382	-0.273071289062	0.0
1986.0	3.0	7375.0	88.0	-124.871384	-56.545876	4.557709	-8.34521484375	17.9362716675	-0.460144042969	1.0
1986.0	3.0	7375.0	89.0	-121.906525	-56.049545	3.961802	-9.90567819696	16.4871635437	-0.328857421875	0.0
1986.0	3.0	7375.0	90.0	-116.139496	-55.802364	5.008067	-12.0612407484	13.2547998428	-0.491882324219	0.0
1986.0	3.0	7418.0	89.0	-126.579407	-52.416977	3.601236	-4.26905260588	20.3703346252	-0.42919921875	1.0
1986.0	3.0	7418.0	90.0	-122.404663	-50.971798	4.711251	-5.71765457956	23.6965999603	-0.409362792969	1.0
1986.0	3.0	7418.0	91.0	-117.756531	-50.398884	3.870748	-7.52433857165	25.4051189423	-0.414306640625	1.0
1986.0	3.0	7670.0	91.0	-108.793533	-56.109417	8.843646	-15.2031474866	27.909204483	-0.603210449219	0.0
1986.0	3.0	7670.0	92.0	-107.347672	-57.243664	9.109527	-14.025143272	17.6388969421	-0.719177246094	0.0
1986.0	3.0	7670.0	93.0	-106.121506	-57.69508	5.978849	-10.2128777755	15.6665687561	-0.435119628906	1.0
1986.0	4.0	13.0	0.0	172.612869	-67.830788	6.367139	-13.0538349767	27.8588447571	-0.4921875	0.0
1986.0	4.0	13.0	1.0	173.382996	-67.371071	5.323183	-11.9553242345	23.9489555359	-0.444213867188	0.0
1986.0	4.0	13.0	2.0	170.722641	-66.499573	5.496936	-12.4226910991	24.3983268738	-0.397033691406	0.0
1986.0	4.0	13.0	3.0	172.430603	-65.601219	6.233828	-11.9337316895	22.8538455963	-0.592468261719	1.0
1986.0	4.0	13.0	4.0	178.722702	-65.061417	6.467345	-10.5825820196	19.2238311768	-0.798950195312	1.0
1986.0	4.0	13.0	5.0	-174.37323	-65.070183	5.631221	-12.1519213867	16.530708313	-0.646423339844	1.0
1986.0	4.0	111.0	3.0	-121.003143	-66.32402	4.656396	-9.49324584961	31.2281017303	-0.398193359375	0.0
1986.0	4.0	111.0	4.0	-110.857086	-66.542686	7.547317	-8.31860942225	27.5041770935	-0.6943359375	1.0
1986.0	4.0	111.0	5.0	-103.829102	-67.352982	9.545205	-7.56573092553	29.0281715393	-0.928955078125	1.0
1986.0	4.0	111.0	6.0	-99.777313	-68.545471	8.982296	-7.42584330241	26.0062160492	-1.02679443359	0.0
1986.0	4.0	111.0	7.0	-99.597534	-69.73999	8.12193	-8.00206409801	26.8542518616	-0.801574707031	0.0
1986.0	4.0	111.0	8.0	-99.404419	-69.746452	6.883624	-9.37084089007	23.7026500702	-0.805725097656	0.0
1986.0	4.0	111.0	9.0	-97.787628	-69.41246	4.863427	-10.7775811089	22.3599891663	-0.633544921875	0.0
1986.0	4.0	111.0	10.0	-94.720917	-69.246208	4.149708	-14.7403844198	20.3401699066	-0.340393066406	0.0
1986.0	4.0	111.0	11.0	-92.290741	-68.92408	3.482064	-23.5205108643	27.4348487854	-0.0203857421875	0.0
