year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPVnorth	low depth	max grad theta_e	theta_eSST - theta_e700	shear	PLpoint
1982.0	1.0	37.0	0.0	6.595176	63.390148	6.864048	-17.302787449	27.767786026	-0.741760253906	12.0855045319	-3.01403808594	138.303353218	0.0
1982.0	1.0	37.0	1.0	6.877685	63.564957	6.126153	-16.4744207209	25.045759201	-0.923706054688	9.92619132996	0.941741943359	128.371632188	0.0
1982.0	1.0	37.0	2.0	7.297392	63.964214	4.828787	-15.8732763672	27.880689621	-0.615844726562	10.3747682571	4.16229248047	133.171622972	0.0
1982.0	1.0	37.0	3.0	7.046402	64.280899	6.167781	-13.4825805664	26.4082603455	-0.487609863281	11.4450769424	7.37875366211	126.337703081	0.0
1982.0	1.0	37.0	4.0	8.553639	64.570831	5.784572	-12.8723971049	24.7179813385	-0.707275390625	11.0965671539	7.05758666992	121.996594622	0.0
1982.0	1.0	37.0	5.0	9.301756	65.005081	5.476951	-10.244585673	20.9534435272	-0.715637207031	11.2554454803	8.46340942383	112.515466925	0.0
1982.0	1.0	37.0	6.0	9.595333	65.437302	5.213003	-7.75286621094	11.8075056076	-0.462219238281	11.0074644089	8.33499145508	107.839324912	1.0
1982.0	1.0	55.0	0.0	-138.825287	49.738548	3.261893	-6.86093782124	24.4659881592	-0.337219238281	3.99896192551	7.57153320312	68.5484030561	0.0
1982.0	1.0	55.0	1.0	-134.840652	47.886917	5.742295	-5.72437227689	20.0974769592	-0.239318847656	3.86276578903	8.77844238281	90.8414208048	0.0
1982.0	1.0	55.0	2.0	-131.227066	47.126614	6.437565	-5.41348970853	18.7623729706	-0.289001464844	4.1537361145	10.432800293	114.628036971	0.0
1982.0	1.0	55.0	3.0	-128.672943	46.637848	7.140041	-5.04280207707	18.2713928223	-0.37255859375	4.67332696915	8.57632446289	102.871539313	0.0
