year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPVnorth	low depth	max grad theta_e	theta_eSST - theta_e700	shear	PLpoint
1985.0	1.0	71.0	0.0	-173.278778	42.771935	8.618527	-5.48125516451	54.0465087891	-0.620239257812	3.07518959045	10.1351623535	122.370379208	0.0
1985.0	1.0	71.0	1.0	-169.430176	42.775818	7.193563	-6.49462655874	56.8385696411	-0.467590332031	2.50676679611	9.21331787109	97.4888511143	0.0
1985.0	1.0	71.0	2.0	-166.237701	42.891308	5.362835	-6.4909362793	38.0831718445	-0.31201171875	2.61504530907	9.14056396484	87.3291645444	0.0
1985.0	1.0	71.0	3.0	-163.061111	43.643978	5.679558	-7.20643967849	36.6137199402	-0.40771484375	2.94386291504	9.28356933594	106.023864931	0.0
1985.0	1.0	71.0	4.0	-160.148849	44.716728	4.455799	-8.09729003906	39.4110832214	-0.459106445312	3.22601270676	8.38070678711	88.036458542	0.0
1985.0	1.0	71.0	5.0	-157.225967	46.066483	6.015939	-9.66194739709	30.8314113617	-0.449645996094	3.58330130577	6.83312988281	94.1480183389	1.0
1985.0	1.0	71.0	6.0	-155.543915	48.118645	5.261596	-10.2009253869	29.215637207	-0.38720703125	3.70930886269	5.3342590332	85.6379684111	0.0
1985.0	1.0	71.0	7.0	-156.307602	50.905212	4.957892	-10.8549965306	19.3865776062	-0.325561523438	3.17845225334	3.24465942383	73.7310004337	0.0
1985.0	1.0	71.0	8.0	-156.829117	52.838997	5.541598	-9.84511365389	21.5589351654	-0.603393554688	3.64253401756	3.45593261719	85.5757442765	1.0
1985.0	1.0	71.0	9.0	-158.14949	54.612373	6.73056	-8.31232813785	22.5420322418	-0.51953125	4.3201789856	3.67211914062	97.8156069636	1.0
1985.0	1.0	71.0	10.0	-159.462494	56.692299	5.465643	-9.82857166637	18.9216060638	-0.506530761719	4.54564857483	5.08477783203	90.7672731918	1.0
1985.0	1.0	71.0	11.0	-160.79306	58.452824	5.128261	-10.1345540365	20.6540203094	-0.225830078125	4.21024608612	3.45175170898	91.0897957656	0.0
1985.0	1.0	71.0	12.0	-161.940735	59.354973	3.568595	-11.0385386149	18.8944606781	-0.0610961914062	4.37216520309	2.82598876953	60.154233105	0.0
1985.0	1.0	505.0	14.0	156.181793	41.651371	4.257955	-11.305485652	51.6599960327	-0.177062988281	5.96716356277	6.55047607422	25.9847184557	0.0
1985.0	1.0	505.0	15.0	157.72197	41.894485	6.568366	-6.91711425781	35.7719993591	-0.498107910156	5.94846439362	9.63153076172	75.9726217845	0.0
1985.0	1.0	505.0	16.0	159.545151	42.328602	11.20355	-6.88106360802	32.5340957642	-1.18182373047	8.99420070648	10.3214111328	113.774507207	0.0
1985.0	1.0	505.0	17.0	161.481323	42.822083	12.90803	-7.56409630409	31.0589733124	-1.25134277344	8.03168296814	9.97698974609	149.416667278	1.0
1985.0	1.0	505.0	18.0	162.641129	42.946602	12.32779	-7.00441800631	23.9658222198	-1.06219482422	6.0752081871	9.2301940918	165.126376776	1.0
1985.0	1.0	505.0	19.0	165.152756	42.428467	10.13089	-6.11482825646	20.7541446686	-0.824951171875	5.49571943283	10.7124633789	151.47339825	1.0
1985.0	1.0	505.0	20.0	168.529831	41.819729	7.868094	-5.41178776668	19.9716491699	-0.545715332031	4.0011048317	11.7206726074	142.15074084	1.0
