year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPV polewards	low depth	PLpoint
2001.0	1.0	1455.0	71.0	-109.120209	-68.952431	4.030839	-29.3156286169	39.6828308105	-0.607238769531	0.0
2001.0	1.0	1455.0	72.0	-111.970428	-70.325577	5.377366	-25.9539489746	34.0121803284	-0.865234375	0.0
2001.0	1.0	1455.0	73.0	-117.271637	-70.422638	6.987248	nan	28.5843925476	-1.03192138672	0.0
2001.0	1.0	1455.0	74.0	-119.524139	-69.196198	6.967421	-17.8849931197	26.360458374	-0.99365234375	0.0
2001.0	1.0	1455.0	75.0	-118.026947	-67.927696	8.321725	-16.2586639404	26.0446071625	-1.08642578125	0.0
2001.0	1.0	1455.0	76.0	-116.491089	-67.399841	8.388118	-14.851681617	31.2438659668	-1.09399414062	0.0
2001.0	1.0	1455.0	77.0	-114.766098	-66.966599	8.572741	-14.0900229177	29.5356826782	-1.18817138672	0.0
2001.0	1.0	1455.0	78.0	-113.353516	-66.942924	6.800931	-12.7353367959	25.1760597229	-0.975646972656	0.0
2001.0	1.0	1455.0	79.0	-112.563431	-67.028336	6.802838	-11.5468375914	27.0451087952	-0.806274414062	0.0
2001.0	1.0	1455.0	80.0	-112.855789	-66.965752	5.533309	-11.1933131064	26.9816226959	-0.797912597656	0.0
2001.0	1.0	1455.0	81.0	-113.355499	-66.443001	5.357304	-11.390815981	23.684923172	-0.674438476562	0.0
2001.0	1.0	1455.0	82.0	-112.335281	-64.983139	4.340551	-10.0306311035	22.0212955475	-0.580261230469	1.0
2001.0	1.0	1455.0	83.0	-110.347153	-63.329525	3.736667	-9.19669311523	20.4224376678	-0.511352539062	1.0
2001.0	2.0	4031.0	67.0	166.053207	-54.743416	2.864414	-17.3984375	50.7977600098	-0.08349609375	0.0
2001.0	2.0	4031.0	68.0	171.319794	-54.426205	4.321591	-10.8327957956	30.0676059723	-0.241455078125	0.0
2001.0	2.0	4031.0	69.0	175.935669	-53.86412	4.837873	-9.9375546104	32.0536117554	-0.375732421875	0.0
2001.0	2.0	4031.0	70.0	-179.747406	-52.852173	6.14592	-9.95290977076	30.485710144	-0.852294921875	1.0
2001.0	2.0	4031.0	71.0	-175.578125	-51.588627	4.912796	-10.0456767835	26.3408946991	-0.502075195312	1.0
2001.0	3.0	4937.0	1.0	-120.686462	-63.790531	4.396213	-17.4944396973	36.0271492004	-0.265808105469	0.0
2001.0	3.0	4937.0	2.0	-114.280899	-61.456421	4.840752	-15.6282214355	37.7287330627	-0.3291015625	0.0
2001.0	3.0	4937.0	3.0	-107.63382	-59.118565	4.984322	-13.7848012824	34.9789428711	-0.316467285156	0.0
2001.0	3.0	4937.0	4.0	-100.894592	-57.048775	4.248047	-11.5052040502	34.5505065918	-0.314880371094	0.0
2001.0	3.0	4937.0	5.0	-94.571838	-55.868206	5.780609	-8.85131032843	26.2599372864	-0.455322265625	1.0
2001.0	3.0	4937.0	6.0	-88.575775	-54.835438	5.467075	-8.05254484478	24.4471244812	-0.386047363281	0.0
2001.0	3.0	4937.0	7.0	-82.432831	-54.520924	5.63485	-9.05874151933	30.6217460632	-0.299438476562	0.0
2001.0	3.0	4937.0	8.0	-76.12323	-55.020161	6.179639	-9.83263196443	33.6009101868	-0.25830078125	0.0
2001.0	3.0	4937.0	9.0	-73.248444	-56.25108	5.137969	-9.73324584961	26.6923065186	-0.261047363281	0.0
2001.0	3.0	4937.0	10.0	-72.565613	-57.247761	4.122564	-9.96146272358	26.2364082336	-0.223693847656	0.0
2001.0	3.0	4937.0	11.0	-69.981934	-58.91069	4.4938	-10.6003016422	20.9248828888	-0.233154296875	0.0
2001.0	3.0	4937.0	12.0	-66.675476	-60.201637	4.704013	-13.251015625	23.7926521301	-0.251708984375	0.0
2001.0	3.0	4937.0	13.0	-65.113007	-61.682995	3.606849	-13.3750854492	18.9136352539	-0.152282714844	0.0
2001.0	3.0	5012.0	4.0	16.43194	-53.951275	4.069211	-25.8518724943	32.3108444214	-0.355407714844	0.0
2001.0	3.0	5012.0	5.0	21.624857	-55.361553	4.445306	-24.0439533434	31.5971336365	-0.405517578125	0.0
2001.0	3.0	5012.0	6.0	26.647516	-56.699131	4.477338	-22.7208428634	31.213973999	-0.450561523438	0.0
2001.0	3.0	5012.0	7.0	31.198988	-58.429958	5.00414	-20.9305821469	29.5477771759	-0.368591308594	0.0
2001.0	3.0	5012.0	8.0	34.478455	-60.156754	5.607858	-19.4619641113	25.6226406097	-0.481384277344	0.0
2001.0	3.0	5012.0	9.0	36.534527	-61.71114	6.587856	-18.2560253906	23.0210208893	-0.501098632812	0.0
2001.0	3.0	5012.0	10.0	36.479301	-63.149712	6.800702	-16.7965393066	17.4446544647	-0.466064453125	0.0
2001.0	3.0	5012.0	11.0	35.370014	-64.495636	8.022368	-15.3327636719	13.7963972092	-0.59326171875	0.0
2001.0	3.0	5012.0	12.0	33.114216	-65.190331	7.201265	-14.2042749023	12.3772172928	-0.773132324219	0.0
2001.0	3.0	5012.0	13.0	29.259758	-63.423267	6.801311	-12.3102270508	12.0889921188	-0.841247558594	0.0
2001.0	3.0	5012.0	14.0	31.090139	-62.156139	7.271696	-11.0408496094	14.3501243591	-0.839599609375	0.0
2001.0	3.0	5012.0	15.0	34.027847	-62.262043	8.659088	-10.8095825195	16.7594223022	-0.742614746094	0.0
2001.0	3.0	5012.0	16.0	36.049824	-62.968933	9.26059	-10.4319519043	22.5640487671	-0.768981933594	1.0
