year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPVnorth	low depth	max grad theta_e	theta_eSST - theta_e700	shear	PLpoint
1984.0	1.0	17.0	0.0	-40.037231	61.329086	5.850383	0.0647509765625	23.1867427826	-0.916015625	12.7680387497	13.3112182617	153.941327095	1.0
1984.0	1.0	17.0	1.0	-41.947571	61.151867	5.218933	-1.73200265985	21.9668750763	-0.991821289062	13.8891220093	12.2885742188	137.031275664	0.0
1984.0	1.0	17.0	2.0	-42.848053	61.028328	4.286371	-3.25758107503	20.8927059174	-1.06719970703	15.0319461823	12.7833251953	131.447914034	0.0
1984.0	1.0	18.0	0.0	-28.06189	65.383606	14.12605	-3.42615722656	20.6478939056	-1.19226074219	5.87659358978	11.2381896973	162.827997763	1.0
1984.0	1.0	18.0	1.0	-29.485046	65.006248	13.57888	-3.70984985352	20.4314785004	-1.3125	9.75467777252	11.4784545898	162.208203126	1.0
1984.0	1.0	18.0	2.0	-32.117798	64.166992	12.33699	-2.63921142578	19.583026886	-1.0791015625	12.0255374908	10.7315063477	166.318315855	1.0
1984.0	1.0	18.0	3.0	-34.552856	63.485981	12.34649	-3.60051147461	14.0478849411	-1.67419433594	11.6037969589	9.14642333984	155.972043614	1.0
1984.0	1.0	18.0	4.0	-36.272644	62.568619	11.83543	-2.98556884766	16.3063373566	-1.22357177734	9.75198936462	11.1393737793	147.268844795	1.0
1984.0	1.0	18.0	5.0	-37.299622	60.402767	9.333356	-3.30524902344	18.0986709595	-1.80194091797	9.68274879456	10.0188293457	129.506203837	1.0
1984.0	1.0	18.0	6.0	-32.128296	57.975777	8.520743	-2.16760253906	28.4779586792	-1.36413574219	5.86935758591	11.7825012207	100.132762978	1.0
1984.0	1.0	18.0	7.0	-25.169037	56.396553	10.58842	-1.50719090512	31.95429039	-1.51947021484	3.35705065727	11.8732299805	85.282177218	0.0
1984.0	1.0	18.0	8.0	-17.518646	54.494713	9.39225	-1.31416079873	26.5138721466	-0.653991699219	5.7411441803	13.7462158203	86.9863577414	1.0
1984.0	1.0	18.0	9.0	-9.48761	52.576756	8.852114	-2.83192027699	25.9871063232	-0.388854980469	4.01433563232	10.9150695801	67.0484954701	0.0
1984.0	1.0	18.0	10.0	-2.088806	51.344112	5.656897	-5.29971313477	27.2907390594	-0.405944824219	6.0759267807	9.53939819336	60.326308323	0.0
1984.0	1.0	18.0	11.0	5.770881	51.407478	7.768196	nan	29.9056110382	-0.517761230469	5.22059869766	6.33364868164	50.7132794092	0.0
1984.0	1.0	27.0	0.0	8.061292	67.802032	6.420874	-6.64225522933	14.3014059067	-0.622924804688	9.17826652527	8.33413696289	120.207151753	1.0
1984.0	1.0	27.0	1.0	9.668108	68.827629	6.109613	-5.95232071415	15.554728508	-0.641418457031	9.42839717865	6.10232543945	157.529082496	1.0
1984.0	1.0	27.0	2.0	9.074553	69.16951	4.661734	-5.80229728453	23.0067424774	-0.675415039062	11.7608671188	6.43682861328	151.972988432	1.0
1984.0	1.0	60.0	0.0	140.083405	43.940777	4.542238	-7.64612755409	23.6305580139	-0.612487792969	6.99535703659	7.23648071289	107.561078523	1.0
1984.0	1.0	60.0	1.0	140.130188	44.238815	4.051287	-7.06713162936	23.0456295013	-0.683288574219	7.31605529785	8.11798095703	125.109845439	1.0
1984.0	1.0	60.0	2.0	140.187057	44.532188	3.310587	-6.04127854567	21.1132526398	-0.848693847656	6.04654979706	7.76904296875	148.467571007	1.0
1984.0	1.0	60.0	3.0	139.715622	44.233299	4.384743	-4.85996891902	22.4006710052	-1.04449462891	4.2363319397	8.06771850586	150.383313159	1.0
1984.0	1.0	60.0	4.0	139.529327	43.394711	4.193222	-5.96501511794	30.4224338531	-0.873718261719	4.1557765007	7.29537963867	142.920398695	1.0
1984.0	1.0	60.0	5.0	139.363464	42.292908	4.790742	-10.3898803711	32.5643119812	-0.554382324219	4.39218378067	5.0280456543	123.767790888	0.0
1984.0	1.0	60.0	6.0	138.624939	42.019611	2.647589	-12.0186016376	27.9671955109	-0.279174804688	4.32931518555	4.95294189453	103.959615068	0.0
1984.0	1.0	124.0	3.0	-8.534332	76.078506	5.693808	-10.9102160645	9.29310798645	-0.246765136719	10.0998821259	1.01138305664	150.135345602	0.0
1984.0	1.0	124.0	4.0	-10.617279	74.549194	5.345615	-11.2652534036	14.862610817	-0.450439453125	9.45191287994	1.37973022461	148.026296385	0.0
1984.0	1.0	124.0	5.0	-14.053009	72.231209	6.95428	-10.9732228597	20.0699138641	-0.414245605469	11.1677646637	5.10873413086	133.669405227	0.0
1984.0	1.0	124.0	6.0	-16.792389	70.112579	8.009613	-9.90470163446	22.7012557983	-0.364135742188	9.81768321991	2.54495239258	130.994580338	0.0
1984.0	1.0	124.0	7.0	-17.898163	68.159576	8.428818	-8.3243171938	18.6423149109	-0.588439941406	7.0730714798	4.89785766602	130.193134689	1.0
1984.0	1.0	124.0	8.0	-20.387146	65.925804	7.287259	-6.67156982422	14.8420000076	-0.485412597656	4.96442317963	8.54788208008	128.180115036	0.0
1984.0	1.0	198.0	5.0	-21.593933	57.770618	6.449658	-3.70787931743	45.4092254639	-0.373352050781	5.73808383942	10.8614196777	26.1074075687	0.0
1984.0	1.0	198.0	6.0	-17.445526	58.45396	7.825113	-5.50920345909	34.0345077515	-0.577026367188	8.53238201141	11.7923583984	93.0587941394	0.0
1984.0	1.0	198.0	7.0	-12.434235	59.454796	12.8884	-7.58790026213	34.4709129333	-1.03448486328	9.61300849915	12.0367126465	138.609323286	0.0
1984.0	1.0	198.0	8.0	-9.027679	59.296967	15.77193	-7.6274076763	22.9496173859	-1.03643798828	8.21259975433	10.9156494141	164.456623466	1.0
1984.0	1.0	198.0	9.0	-3.819061	59.007805	9.570031	-7.46441141764	17.5671100616	-0.7763671875	8.42064476013	9.40997314453	121.863107582	1.0
1984.0	1.0	199.0	5.0	-26.813751	64.503716	6.75214	2.10029907227	15.2560625076	-0.44677734375	7.049741745	12.6211242676	122.472172317	1.0
1984.0	1.0	199.0	6.0	-26.858856	63.9972	7.669707	2.16126586914	17.6868495941	-0.471374511719	8.05169010162	11.904083252	109.645171943	1.0
1984.0	1.0	199.0	7.0	-27.255432	62.79282	6.767361	0.656380615234	19.2329330444	-0.294677734375	3.70651698112	9.98968505859	92.6274309121	0.0
1984.0	1.0	264.0	7.0	179.260361	48.678619	3.628541	-10.7063776652	24.2150688171	-0.65283203125	4.35185003281	3.65173339844	150.924235888	0.0
1984.0	1.0	264.0	8.0	-179.98877	48.228958	5.086154	-10.9082962839	30.0651817322	-0.471130371094	4.11564350128	3.92556762695	143.953920738	1.0
1984.0	1.0	264.0	9.0	-179.303162	47.923298	7.213406	-9.73252047025	28.617193222	-0.79150390625	5.55552005768	4.34765625	137.324824644	1.0
1984.0	1.0	264.0	10.0	-178.8629	47.574181	8.391187	-9.31013606145	27.9005908966	-0.684204101562	5.91592359543	5.38168334961	135.952778753	1.0
1984.0	1.0	264.0	11.0	-178.175537	47.620968	8.0386	-8.99006300706	27.0148658752	-0.642517089844	5.61660146713	6.06549072266	131.189203382	1.0
1984.0	1.0	264.0	12.0	-177.552612	47.6152	7.942014	-8.95239023062	31.3895072937	-0.662231445312	5.26038312912	5.26666259766	142.524002423	0.0
1984.0	1.0	264.0	13.0	-176.846436	47.838531	7.143745	-9.49361947867	27.3677387238	-0.675659179688	5.75753355026	4.57284545898	nan	1.0
1984.0	1.0	264.0	14.0	-175.887024	48.559742	5.318293	-9.77544202303	27.5382633209	-0.791870117188	6.31190299988	3.53240966797	138.212389443	1.0
1984.0	1.0	264.0	15.0	-173.763672	50.612732	4.316319	-8.93193776984	29.7328510284	-0.424743652344	6.13610315323	2.56286621094	76.0172529429	1.0
1984.0	1.0	264.0	16.0	-171.332138	51.936317	4.292431	-9.7283919485	32.5083198547	-0.111450195312	6.50032997131	3.30249023438	48.692793669	0.0
1984.0	1.0	302.0	9.0	-52.895477	46.625645	5.893585	-37.2162704468	71.3749923706	-0.430419921875	11.4023141861	-16.4770507812	66.0722822366	0.0
1984.0	1.0	302.0	10.0	-50.250031	49.506924	9.802277	-38.871758355	80.8735427856	-0.950805664062	12.0230522156	-17.8967895508	56.0039749531	0.0
1984.0	1.0	302.0	11.0	-45.872925	53.776798	10.49008	-31.5187024568	82.5247268677	-1.30395507812	11.579618454	-6.94473266602	58.0833695881	0.0
1984.0	1.0	302.0	12.0	-42.159882	58.265186	12.78106	-27.8159243935	64.7576980591	-1.55560302734	10.833729744	-1.40292358398	94.6121996725	0.0
