year	month	TPLnr	time pnt	lon	lat	vort_filt	thetaSST-theta500	UPV polewards	low depth	PLpoint
1995.0	1.0	28.0	0.0	-35.874268	-58.244389	3.352449	-11.6511632016	21.7832717896	-0.164978027344	0.0
1995.0	1.0	28.0	1.0	-32.248871	-56.826393	3.977183	-12.1341616982	24.8381500244	-0.132141113281	0.0
1995.0	1.0	28.0	2.0	-27.672699	-54.045864	3.773692	-13.2345324065	24.2317905426	-0.146484375	0.0
1995.0	1.0	28.0	3.0	-22.369812	-52.045189	5.646181	-13.8848796644	27.5180644989	-0.279174804688	0.0
1995.0	1.0	28.0	4.0	-17.466644	-51.670628	6.301334	-12.1022258558	26.5505409241	-0.394836425781	0.0
1995.0	1.0	28.0	5.0	-13.260132	-51.683838	7.204863	-10.8419799805	27.8364524841	-0.572631835938	1.0
1995.0	1.0	28.0	6.0	-10.117065	-51.667801	7.270421	-11.1352474815	21.3350963593	-0.696838378906	0.0
1995.0	1.0	28.0	7.0	-6.727386	-51.702187	6.152705	-11.9081902755	20.1899375916	-0.492370605469	0.0
1995.0	1.0	28.0	8.0	-3.443542	-51.478462	4.773076	-11.6595651727	18.8574504852	-0.374450683594	0.0
1995.0	1.0	28.0	9.0	-0.819427	-50.91452	2.850536	-11.5349249589	19.0928478241	-0.311401367188	0.0
1995.0	1.0	2291.0	106.0	-179.124329	-55.688858	4.249763	-11.7550289756	19.5817146301	-0.356262207031	0.0
1995.0	1.0	2291.0	107.0	-177.216034	-56.347031	6.334505	-12.2031812166	21.9291591644	-0.504760742188	0.0
1995.0	1.0	2291.0	108.0	-176.98494	-56.353298	5.48147	-12.1773328279	23.7611141205	-0.633850097656	0.0
1995.0	1.0	2291.0	109.0	-176.719452	-54.493996	4.282017	-10.6218775699	24.8470973969	-0.658813476562	0.0
1995.0	1.0	2291.0	110.0	-173.237503	-51.807781	4.070926	-9.13769210012	27.0340824127	-0.549072265625	1.0
1995.0	1.0	2291.0	111.0	-168.598038	-49.732365	4.385616	-9.11180516293	25.6969814301	-0.369689941406	0.0
1995.0	1.0	2291.0	112.0	-163.041611	-49.161377	3.861319	-9.98753116005	26.3709964752	-0.224487304688	0.0
1995.0	1.0	2403.0	111.0	170.176468	-60.576862	3.751349	-19.2211340332	43.0811576843	-0.382385253906	0.0
1995.0	1.0	2403.0	112.0	174.666565	-59.785374	7.209706	-12.6703700015	26.8775634766	-0.614501953125	0.0
1995.0	1.0	2403.0	114.0	-176.14537	-55.694225	6.709054	-8.95163606343	30.706035614	-0.499206542969	1.0
1995.0	1.0	2403.0	115.0	-172.009247	-52.924774	4.546579	-7.81108976665	27.4858913422	-0.579772949219	1.0
1995.0	1.0	2699.0	115.0	-165.521133	-53.515514	4.69124	-9.3160207648	23.9911079407	-0.6474609375	1.0
1995.0	1.0	2699.0	116.0	-162.064774	-52.820202	5.444249	-9.75083521793	23.5656661987	-0.686706542969	1.0
1995.0	1.0	2699.0	117.0	-156.944946	-52.693275	4.69729	-9.36884990491	23.274848938	-0.546630859375	1.0
1995.0	1.0	2699.0	118.0	-152.171387	-54.603603	4.816892	-11.1585645174	24.8838214874	-0.5185546875	0.0
1995.0	1.0	2699.0	119.0	-147.781204	-56.399803	4.818262	-14.8232518246	23.9109420776	-0.364624023438	0.0
1995.0	1.0	2699.0	120.0	-144.548035	-57.012623	4.864603	-15.4666121633	17.7177600861	-0.329162597656	0.0
1995.0	1.0	2699.0	121.0	-139.483841	-59.740551	4.210926	-16.9903548391	19.1750106812	-0.31201171875	0.0
1995.0	1.0	2699.0	122.0	-135.590012	-61.65934	4.509033	-16.7719592285	18.4731426239	-0.472900390625	0.0
1995.0	1.0	2699.0	123.0	-130.129089	-64.078514	3.603662	-16.5724890137	21.0217266083	-0.338989257812	0.0
1995.0	2.0	3813.0	55.0	175.229752	-76.080605	3.605417	-9.73181355794	8.94032096863	-0.704040527344	1.0
1995.0	2.0	3813.0	56.0	174.851471	-75.003159	4.880744	-9.71773085483	8.84864902496	-0.414184570312	1.0
1995.0	2.0	3813.0	57.0	177.712784	-73.957115	6.473286	-11.6843499078	9.20752811432	-0.70458984375	0.0
1995.0	2.0	3813.0	58.0	178.25946	-73.156952	7.68839	-11.9441630046	8.13822746277	-0.656860351562	0.0
1995.0	2.0	3813.0	59.0	178.369553	-72.520874	8.821723	-11.9560185185	8.72885227203	-0.80126953125	0.0
1995.0	2.0	3813.0	60.0	179.053101	-71.271881	7.724555	-12.2859751383	9.13729858398	-0.813110351562	0.0
1995.0	2.0	3813.0	62.0	-179.111343	-69.005302	4.09569	-15.6590773059	19.817735672	-0.172058105469	0.0
1995.0	2.0	3813.0	63.0	-173.825775	-67.620155	3.76298	-16.9869778541	26.5596408844	-0.114074707031	0.0
1995.0	2.0	3813.0	64.0	-171.471832	-66.671013	3.178841	-16.8998865927	26.0977287292	-0.108825683594	0.0
1995.0	3.0	7067.0	80.0	-58.473785	-60.910572	4.569133	-13.2779345703	28.1772499084	-0.399353027344	0.0
1995.0	3.0	7067.0	81.0	-51.109039	-61.590828	6.763021	-15.7194702148	29.7636623383	-0.741638183594	0.0
1995.0	3.0	7067.0	82.0	-44.841705	-62.560455	8.507698	-16.937980957	24.2814407349	-0.677185058594	0.0
1995.0	3.0	7067.0	83.0	-39.385834	-63.992119	9.980739	-17.7226905823	26.0517024994	-0.880065917969	0.0
1995.0	3.0	7067.0	84.0	-34.497833	-65.656876	9.406487	nan	27.9227390289	-0.834777832031	0.0
1995.0	3.0	7067.0	85.0	-29.949493	-66.20488	6.543243	nan	27.2958164215	-0.944519042969	0.0
1995.0	3.0	7067.0	86.0	-24.47229	-67.232933	5.482037	-14.7133761319	25.7946414948	-1.16748046875	0.0
1995.0	3.0	7067.0	87.0	-20.239227	-69.487915	4.020272	-13.4319320186	25.0580863953	-0.534973144531	0.0
1995.0	3.0	7067.0	88.0	-20.051636	-70.993217	6.163986	-13.0949360615	24.2276344299	-0.668334960938	0.0
1995.0	3.0	7067.0	89.0	-22.183319	-71.875671	7.814416	-13.427851359	19.9456748962	-0.892395019531	0.0
1995.0	3.0	7067.0	90.0	-24.242065	-72.560822	6.470326	-13.1654639611	20.3153610229	-0.665649414062	0.0
1995.0	3.0	7067.0	91.0	-26.944061	-71.661423	4.338598	nan	18.7543926239	-0.540100097656	0.0
1995.0	3.0	7067.0	92.0	-24.903137	-70.377899	4.755238	-10.7471237183	16.6074562073	-0.607604980469	0.0
1995.0	3.0	7067.0	93.0	-20.353027	-69.746956	5.099729	-9.82093466482	13.3881845474	-0.504821777344	1.0
1995.0	3.0	7067.0	94.0	-16.177246	-69.289368	5.129999	-9.23492726972	18.7880592346	-0.468505859375	1.0
1995.0	3.0	7067.0	95.0	-12.798035	-68.197281	4.949457	-10.329705023	22.5675888062	-0.416198730469	1.0
1995.0	3.0	7067.0	96.0	-7.536224	-66.547371	4.301057	-10.4950295725	20.5437355042	-0.378845214844	0.0
1995.0	3.0	7067.0	97.0	-0.962067	-64.495003	4.156525	-10.7437768555	21.6650924683	-0.252807617188	0.0
1995.0	3.0	7067.0	98.0	5.336737	-61.839725	3.044628	-11.8269384766	23.2294387817	-0.254516601562	0.0
1995.0	3.0	7252.0	91.0	-76.371429	-61.793079	3.885743	-12.3385351562	18.5704250336	-0.524353027344	0.0
1995.0	3.0	7252.0	92.0	-74.901794	-63.221165	5.853591	-12.0503747559	14.3360710144	-0.671020507812	0.0
1995.0	3.0	7252.0	93.0	-75.704773	-63.288872	6.906651	-12.078828125	10.9199542999	-0.841247558594	0.0
1995.0	3.0	7252.0	94.0	-75.693512	-61.60614	7.03755	-10.1012487793	8.6875	-0.963195800781	1.0
1995.0	3.0	7252.0	95.0	-72.76004	-59.990055	5.687838	-9.45503797029	15.0077829361	-0.669189453125	1.0
1995.0	3.0	7252.0	96.0	-69.334412	-59.215008	5.053802	-8.69024336965	16.3805656433	-0.402709960938	0.0
1995.0	3.0	7252.0	97.0	-67.952087	-59.851357	3.198853	-10.0295072857	19.5931015015	-0.37841796875	0.0
1995.0	3.0	7572.0	101.0	-55.701813	-51.354713	5.154837	-8.46798063579	30.2602710724	-0.259521484375	0.0
1995.0	3.0	7572.0	102.0	-50.141266	-51.372322	6.757801	-8.9873319927	26.987821579	-0.434509277344	1.0
1995.0	3.0	7572.0	103.0	-44.975403	-52.121883	9.114335	-10.8613088507	36.214466095	-0.540954589844	0.0
1995.0	3.0	7572.0	104.0	-40.54715	-53.874943	8.166333	-11.5068905479	40.462387085	-0.551391601562	0.0
1995.0	3.0	7572.0	105.0	-37.455811	-56.282658	10.21068	-12.8214577123	39.5904846191	-0.614807128906	0.0
1995.0	3.0	7572.0	106.0	-36.73703	-57.889103	9.41703	-13.2657567074	37.6895561218	-0.520568847656	0.0
1995.0	3.0	7572.0	107.0	-38.122498	-58.798882	6.747384	-13.4975682309	35.0091552734	-0.347961425781	0.0
1995.0	4.0	802.0	30.0	-154.722839	-65.167351	9.639961	-20.940546875	33.4724578857	-1.06280517578	0.0
1995.0	4.0	802.0	31.0	-144.525116	-65.509674	11.54528	-16.9629309082	23.7205314636	-1.49530029297	0.0
1995.0	4.0	802.0	32.0	-137.711411	-65.346359	10.30776	-14.9816784668	22.6258773804	-1.32141113281	0.0
1995.0	4.0	802.0	33.0	-131.250443	-64.633278	6.653701	-13.0033605957	20.1205940247	-0.925598144531	0.0
