year	month	TPLnr	time pnt (3hourly)	lon	lat	vort_filt	landdistr	meanSLP - SLP	thetaSST-theta500	U500north	PLpoint
2006.0	1.0	11.0	0.0	158.343063	50.539062	9.281728	0.117384843982	6.09069824219	-4.13339233398	26.4733963013	1.0
2006.0	1.0	11.0	1.0	158.452988	50.475826	8.91068	0.101040118871	5.78753662109	-4.39959716797	24.631357193	1.0
2006.0	1.0	11.0	2.0	158.667099	50.445217	8.60585	0.0846953937593	5.61083984375	-3.77838134766	25.2274398804	1.0
2006.0	1.0	11.0	3.0	158.691788	50.293011	8.284021	0.0668647845468	5.57958984375	-3.12942504883	29.0538768768	1.0
2006.0	1.0	11.0	4.0	158.836548	50.143089	7.478876	0.0490341753343	5.0126953125	-2.93975830078	27.5446739197	1.0
2006.0	1.0	11.0	5.0	158.668472	50.09856	6.842665	0.0534918276374	4.66955566406	-3.40692138672	26.4384307861	1.0
2006.0	1.0	11.0	6.0	158.774551	50.238445	6.019735	0.0490341753343	4.0244140625	-3.07431030273	28.8071403503	1.0
2006.0	1.0	11.0	7.0	158.857193	49.95752	5.295019	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	8.0	159.175827	49.762287	4.368127	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	9.0	159.284012	49.929169	4.272998	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	10.0	159.753983	50.089676	4.047456	0.0	2.62164306641	-4.58438110352	24.9406452179	1.0
2006.0	1.0	11.0	11.0	159.522217	50.955933	3.176244	0.0861812778603	2.59381103516	-6.72595214844	23.9900512695	1.0
2006.0	1.0	11.0	12.0	158.78125	52.128551	3.340547	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	13.0	158.919785	52.492519	3.594608	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	14.0	159.491287	52.69099	4.629615	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	15.0	159.977814	53.088558	5.557062	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	16.0	160.23558	53.598358	5.421721	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	17.0	160.816971	53.939396	4.085827	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	18.0	162.648056	55.008175	3.339439	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	19.0	164.732544	55.838192	3.439174	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	20.0	165.782913	56.351326	5.154083	0.0	0.0	0.0	0.0	0.0
2006.0	1.0	11.0	21.0	166.751495	56.982712	5.984195	0.0	0.0	0.0	0.0	0.0
