year	month	TPLnr	time pnt (3hourly)	lon	lat	vort_filt	landdistr	meanSLP - SLP	thetaSST-theta500	U500north	PLpoint
2012.0	1.0	18.0	0.0	173.036179	44.460964	9.885113	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	18.0	1.0	173.400818	44.767212	8.951446	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	18.0	2.0	172.625229	44.633072	7.490996	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	18.0	3.0	171.973953	44.009041	7.166837	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	18.0	4.0	172.125427	43.125046	7.211212	0.0	6.36975097656	-8.57223510742	18.380695343	1.0
2012.0	1.0	18.0	5.0	172.967865	41.989048	4.74249	0.0	4.82708740234	-7.30545043945	19.1864376068	1.0
2012.0	1.0	18.0	6.0	172.971344	40.23304	3.418305	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	0.0	-178.799896	41.102211	5.261371	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	1.0	-177.330246	41.161488	8.774004	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	2.0	-173.724792	41.186481	4.66692	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	3.0	-172.125	41.142841	9.465097	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	4.0	-168.577332	40.925163	4.783703	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	5.0	-167.197311	40.794922	11.2302	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	6.0	-167.274185	42.907593	5.234347	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	7.0	-167.160568	43.511429	6.191443	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	8.0	-166.161575	43.801113	6.149025	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	9.0	-164.872513	44.118263	5.592899	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	10.0	-164.41095	44.694229	5.332375	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	11.0	-165.049271	44.970337	5.506376	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	12.0	-165.104004	44.827263	5.234701	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	13.0	-165.044067	44.538826	4.723315	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	14.0	-165.464127	43.991016	4.18586	0.0	0.0	0.0	0.0	0.0
2012.0	1.0	19.0	15.0	-165.713791	43.194233	4.470851	0.0	0.0	0.0	0.0	0.0
